DATETIMEINFOADDED(PT),Ingestor,1stAuditor,2ndAuditor
2018-03-12 14:16:57.834940,jdandan,,
2018-03-12 14:16:57.835010,yoselinne,,
2018-03-12 14:16:57.835010,jdandan,,
2018-03-12 14:16:57.835090,yoselinne,,
2018-03-12 14:16:57.835090,jdandan,,
2018-03-12 14:16:57.835170,yoselinne,,
2018-03-12 14:16:57.835170,jdandan,,
2018-03-12 14:16:57.835250,yoselinne,,
2018-03-12 14:16:57.835250,jdandan,,
2018-03-14 17:34:18.748760,jdandan,,
2018-03-14 17:34:18.748790,jdandan,,
2018-03-14 17:34:18.748820,jdandan,,
2018-03-14 17:34:18.749000,BLrsmowzZCMw=,,
2018-03-14 17:34:18.749080,BLZZSvCwWtU=,,
2018-03-14 17:34:18.749220,jdandan,,
2018-03-14 17:34:18.749250,jdandan,,
2018-03-14 17:34:18.749280,jdandan,,
2018-03-14 17:34:18.749310,jdandan,,
2018-03-14 17:34:18.749340,jdandan,,
2018-03-14 17:34:18.749380,jdandan,,
2018-03-14 17:34:18.749410,jdandan,,
2018-03-14 17:34:18.749440,jdandan,,
2018-03-14 17:34:18.749470,jdandan,,
2018-03-14 17:34:18.749520,jdandan,,
2018-03-14 17:34:18.749580,jdandan,,
2018-03-14 17:34:18.749650,jdandan,,
2018-03-14 17:34:18.749710,jdandan,,
2018-03-14 17:34:18.749770,jdandan,,
2018-03-14 17:34:18.749840,jdandan,,
2018-03-14 17:34:18.749900,jdandan,,
2018-03-14 17:34:18.749970,jdandan,,
2018-03-14 17:34:18.750000,jdandan,,
2018-03-14 17:34:18.750040,jdandan,,
2018-03-14 17:34:18.750120,jdandan,,
2018-03-14 17:34:18.750170,jdandan,,
2018-03-14 17:34:18.750200,jdandan,,
2018-03-14 17:34:18.750280,jdandan,,
2018-03-14 17:34:18.750320,jdandan,,
2018-03-14 17:34:18.750350,jdandan,,
2018-03-14 17:34:18.750380,jdandan,,
2018-03-14 17:34:18.750420,jdandan,,
2018-03-14 17:34:18.750450,jdandan,,
2018-03-14 17:34:18.750480,jdandan,,
2018-03-14 17:34:18.750510,jdandan,,
2018-03-14 17:34:18.750540,jdandan,,
2018-03-14 17:34:18.750570,jdandan,,
2018-03-14 17:34:18.750620,jdandan,,
2018-03-14 17:34:18.750660,jdandand,,
2018-03-14 17:34:18.750690,jdandan,,
2018-03-14 17:34:18.750720,jdandan,,
2018-03-14 17:34:18.750770,jdandan,,
2018-03-14 17:34:18.750800,jdandan,,
2018-03-14 17:34:18.750840,jdandan,,
2018-03-14 17:34:18.750880,yoselinne,,
2018-03-14 17:34:18.750910,yoselinne,,
2018-03-14 17:34:18.750940,yoselinne,,
2018-03-14 17:34:18.750970,yoselinne,,
2018-03-14 17:34:18.751000,yoselinne,,
2018-03-14 17:34:18.751030,yoselinne,,
2018-03-14 17:34:18.751060,yoselinne,,
2018-03-14 17:34:18.751110,yoselinne,,
2018-03-14 17:34:18.751140,yoselinne,,
2018-03-14 17:34:18.751170,yoselinne,,
2018-03-14 17:34:18.751200,yoselinne,,
2018-03-14 17:34:18.751240,yoselinne,,
2018-03-14 17:34:18.751270,yoselinne,,
2018-03-14 17:34:18.751300,yoselinne,,
2018-03-14 17:34:18.751330,yoselinne,,
2018-03-14 17:34:18.751360,yoselinne,,
2018-03-14 17:34:18.751390,yoselinne,,
2018-03-14 17:34:18.751430,jdandan,,
2018-03-14 17:34:18.751460,yoselinne,,
2018-03-14 17:34:18.751490,jdandan,,
2018-03-14 17:34:18.751520,yoselinne,,
2018-03-14 17:34:18.751560,jdandan,,
2018-03-14 17:34:18.751600,jdandan,,
2018-03-14 17:34:18.751630,yoselinne,,
2018-03-14 17:34:18.751660,yoselinne,,
2018-03-14 17:34:18.751690,jdandan,,
2018-03-14 17:34:18.751730,jdandan,,
2018-03-14 17:34:18.751760,yoselinne,,
2018-03-14 17:34:18.751790,jdandan,,
2018-03-14 17:34:18.751820,yoselinne,,
2018-03-14 17:34:18.751850,jdandan,,
2018-03-14 17:34:18.751880,yoselinne,,
2018-03-14 17:34:18.751910,jdandan,,
2018-03-14 17:34:18.751950,jdandan,,
2018-03-14 17:34:18.751980,jdandan,,
2018-03-14 17:34:18.752010,jdandan,,
2018-03-23 20:37:50.259160,yoselinne,,
2018-03-23 20:37:50.259240,yoselinne,,
2018-03-23 20:37:50.259320,yoselinne,,
2018-03-23 20:37:50.259490,yoselinne,,
2018-03-23 20:37:50.259650,yoselinne,,
2018-03-23 20:37:50.259770,yoselinne,,
2018-03-23 20:37:50.259830,yoselinne,,
2018-03-23 20:37:50.259900,yoselinne,,
2018-03-23 20:37:50.259960,yoselinne,,
2018-03-23 20:37:50.260020,yoselinne,,
2018-03-23 20:37:50.260100,yoselinne,,
2018-03-23 20:37:50.260160,yoselinne,,
2018-03-23 20:37:50.260230,yoselinne,,
2018-03-23 20:37:50.260290,yoselinne,,
2018-03-23 20:37:50.260370,yoselinne,,
2018-03-23 20:37:50.260560,yoselinne,,
2018-03-23 20:37:50.260620,yoselinne,,
2018-03-23 20:37:50.260680,yoselinne,,
2018-03-23 20:37:50.260740,yoselinne,,
2018-03-23 20:37:50.260810,yoselinne,,
2018-03-23 20:37:50.260890,yoselinne,,
2018-03-23 20:37:50.260960,yoselinne,,
2018-03-23 20:37:50.261020,yoselinne,,
2018-03-23 20:37:50.261090,yoselinne,,
2018-03-23 20:37:50.261170,yoselinne,,
2018-03-23 20:37:50.261250,yoselinne,,
2018-03-23 20:37:50.261330,yoselinne,,
2018-03-23 20:37:50.261430,yoselinne,,
2018-03-23 20:37:50.261510,yoselinne,,
2018-03-23 20:37:50.261660,yoselinne,,
2018-03-23 20:37:50.261730,yoselinne,,
2018-03-23 20:37:50.261810,yoselinne,,
2018-03-23 20:37:50.261880,yoselinne,,
2018-03-23 20:37:50.261960,yoselinne,,
2018-03-23 20:37:50.262020,yoselinne,,
2018-03-23 20:37:50.262090,yoselinne,,
2018-03-23 20:37:50.262160,yoselinne,,
2018-03-23 20:37:50.262240,yoselinne,,
2018-03-23 20:37:50.262320,yoselinne,,
2018-03-23 20:37:50.262400,yoselinne,,
2018-03-23 20:37:50.262470,yoselinne,,
2018-03-23 20:37:50.262540,yoselinne,,
2018-03-23 20:37:50.262600,yoselinne,,
2018-03-23 20:37:50.262660,yoselinne,,
2018-03-23 20:37:50.262710,yoselinne,,
2018-03-23 20:37:50.262770,yoselinne,,
2018-03-23 20:37:50.262840,yoselinne,,
2018-03-23 20:37:50.262900,yoselinne,,
2018-03-23 20:37:50.262960,yoselinne,,
2018-03-23 20:37:50.263030,yoselinne,,
2018-03-23 20:37:50.263100,yoselinne,,
2018-03-23 20:37:50.263190,yoselinne,,
2018-03-23 20:37:50.263250,yoselinne,,
2018-03-23 20:37:50.263320,yoselinne,,
2018-03-23 20:37:50.263410,yoselinne,,
2018-03-23 20:37:50.263470,yoselinne,,
2018-03-23 20:37:50.263540,yoselinne,,
2018-03-23 20:37:50.263610,yoselinne,,
2018-03-23 20:37:50.263670,yoselinne,,
2018-03-23 20:37:50.263730,yoselinne,,
2018-03-23 20:37:50.263790,yoselinne,,
2018-03-23 20:37:50.263850,yoselinne,,
2018-03-23 20:37:50.263920,jdandan,,
2018-03-23 20:37:50.263980,jdandan,,
2018-03-23 20:37:50.264060,jdandan,,
2018-03-23 20:37:50.264170,jdandan,,
2018-03-23 20:37:50.264230,jdandan,,
2018-03-23 20:37:50.264310,jdandan,,
2018-03-23 20:37:50.264370,jdandan,,
2018-03-23 20:37:50.264440,jdandan,,
2018-03-23 20:37:50.264500,jdandan,,
2018-03-23 20:37:50.264560,jdandan,,
2018-03-23 20:37:50.264620,jdandan,,
2018-03-23 20:37:50.264690,jdandan,,
2018-03-23 20:37:50.264750,jdandan,,
2018-03-23 20:37:50.264810,jdandan,,
2018-03-23 20:37:50.264880,jdandan,,
2018-03-23 20:37:50.264950,jdandan,,
2018-03-23 20:37:50.265010,jdandan,,
2018-03-23 20:37:50.265070,jdandan,,
2018-03-23 20:37:50.265140,jdandan,,
2018-03-23 20:37:50.265200,jdandan,,
2018-03-23 20:37:50.265260,jdandan,,
2018-03-23 20:37:50.265320,jdandan,,
2018-03-23 20:37:50.265440,jdandan,,
2018-03-23 20:37:50.265510,jdandan,,
2018-03-23 20:37:50.265570,jdandan,,
2018-03-23 20:37:50.265630,jdandan,,
2018-03-23 20:37:50.265690,yoselinne,,
2018-03-23 20:37:50.265830,jdandan,,
2018-03-23 20:37:50.265950,jdandan,,
2018-03-23 20:37:50.266020,jdandan,,
2018-03-23 20:37:50.266080,yoselinne,,
2018-03-23 20:37:50.266150,yoselinne,,
2018-03-23 20:37:50.266280,yoselinne,,
2018-03-23 20:37:50.266340,jdandan,,
2018-03-23 20:37:50.266480,jdandan,,
2018-03-23 20:37:50.266540,jdandan,,
2018-03-23 20:37:50.266660,jdandan,,
2018-03-23 20:37:50.266730,jdandan,,
2018-03-23 20:37:50.266800,jdandan,,
2018-03-23 20:37:50.266860,jdandan,,
2018-03-23 20:37:50.266990,jdandan,,
2018-03-23 20:37:50.267110,jdandan,,
2018-03-23 20:37:50.267170,jdandan,,
2018-03-23 20:37:50.267230,jdandan,,
2018-03-23 20:37:50.267300,yoselinne,,
2018-03-23 20:37:50.267360,yoselinne,,
2018-03-23 20:37:50.267450,yoselinne,,
2018-03-23 20:37:50.267530,yoselinne,,
2018-03-23 20:37:50.267650,yoselinne,,
2018-03-23 20:37:50.267710,yoselinne,,
2018-03-23 20:37:50.267780,yoselinne,,
2018-03-23 20:37:50.267840,yoselinne,,
2018-03-23 20:37:50.267900,yoselinne,,
2018-03-23 20:37:50.267960,yoselinne,,
2018-03-23 20:37:50.268020,yoselinne,,
2018-03-23 20:37:50.268080,yoselinne,,
2018-03-23 20:38:18.279910,jjoines,,
2018-03-23 20:38:18.280050,jjoines,,
2018-03-23 20:38:18.280390,jjoines,,
2018-03-23 20:38:18.280470,jjoines,,
2018-03-23 20:38:18.280540,jjoines,,
2018-03-23 20:38:18.280620,jjoines,,
2018-03-23 20:38:18.280680,jjoines,,
2018-03-23 20:38:18.280750,jjoines,,
2018-03-23 20:38:18.280820,jjoines,,
2018-03-23 20:38:18.280880,jjoines,,
2018-03-23 20:38:18.280950,jjoines,,
2018-03-23 20:38:18.281020,jjoines,,
2018-03-23 20:38:18.281080,jjoines,,
2018-03-23 20:38:18.281140,jjoines,,
2018-03-23 20:38:18.281220,jjoines,,
2018-03-23 20:38:18.281300,jjoines,,
